15,10
K,0,0
P,0,1
L,0,2
X,0,3
N,0,4
E,0,5
W,0,6
C,0,7
Q,0,8
N,0,9
W,1,0
L,1,1
R,1,2
G,1,3
I,1,4
Q,1,5
A,1,6
L,1,7
U,1,8
L,1,9
I,2,0
W,2,1
C,2,2
U,2,3
E,2,4
F,2,5
A,2,6
R,2,7
V,2,8
R,2,9
S,3,0
T,3,1
C,3,2
F,3,3
C,3,4
U,3,5
R,3,6
A,3,7
J,3,8
T,3,9
I,4,0
E,4,1
R,4,2
N,4,3
I,4,4
D,4,5
R,4,6
Y,4,7
X,4,8
S,4,9
K,5,0
H,5,1
E,5,2
T,5,3
N,5,4
E,5,5
P,5,6
R,5,7
E,5,8
S,5,9
F,6,0
I,6,1
E,6,2
E,6,3
F,6,4
C,6,5
Y,6,6
Z,6,7
B,6,8
N,6,9
Z,7,0
E,7,1
F,7,2
B,7,3
H,7,4
Q,7,5
C,7,6
U,7,7
G,7,8
E,7,9
I,8,0
I,8,1
O,8,2
L,8,3
X,8,4
N,8,5
R,8,6
H,8,7
Z,8,8
Y,8,9
K,9,0
K,9,1
V,9,2
R,9,3
A,9,4
E,9,5
W,9,6
E,9,7
K,9,8
K,9,9
D,10,0
E,10,1
O,10,2
O,10,3
I,10,4
J,10,5
B,10,6
P,10,7
S,10,8
D,10,9
B,11,0
S,11,1
A,11,2
I,11,3
N,11,4
T,11,5
V,11,6
D,11,7
G,11,8
V,11,9
M,12,0
E,12,1
X,12,2
A,12,3
A,12,4
K,12,5
B,12,6
G,12,7
I,12,8
D,12,9
L,13,0
O,13,1
G,13,2
E,13,3
R,13,4
L,13,5
D,13,6
R,13,7
D,13,8
L,13,9
L,14,0
T,14,1
A,14,2
B,14,3
R,14,4
U,14,5
L,14,6
J,14,7
G,14,8
Y,14,9
